City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,sinan,34.8262,126.1086,2.91,63,100,12.06,KR,1738530711
126,svetlyy,54.675,20.1347,1.83,70,91,5.16,RU,1738530444
127,fort mcmurray,56.7268,-111.381,-24.27,70,100,5.14,CA,1738530714
128,cockburn town,21.4612,-71.1419,25.23,79,0,9.16,TC,1738530715
129,petropavlovsk-kamchatsky,53.0452,158.6483,-13.67,56,0,3.0,RU,1738530716
130,mgandu,-5.95,34.1333,16.62,94,100,1.36,TZ,1738530693
131,galle,6.0367,80.217,25.61,82,83,2.97,LK,1738530718
132,lepsy,46.235,78.9456,-12.23,88,9,3.47,KZ,1738530719
133,nam som,17.7704,102.1895,22.13,37,91,1.08,TH,1738530720
134,valparaiso,-33.0393,-71.6273,23.8,43,0,6.69,CL,1738530720
135,nogliki,51.8333,143.1667,-26.05,94,91,2.22,RU,1738530723
136,kailua-kona,19.6406,-155.9956,27.55,76,20,3.6,US,1738530611
137,howrah,22.5892,88.3103,21.0,94,100,0.0,IN,1738530725
138,san-pedro,4.7485,-6.6363,26.33,83,100,2.27,CI,1738530678
139,boende,-0.2167,20.8667,26.11,54,100,1.47,CD,1738530727
140,tazacorte,28.629,-17.9293,17.54,77,75,5.14,ES,1738530728
141,mikun',62.3547,50.0771,-15.49,90,100,5.17,RU,1738530729
142,chonchi,-42.6128,-73.8092,18.4,48,100,2.68,CL,1738530731
143,tauranga,-37.6861,176.1667,22.51,62,1,0.45,NZ,1738530733
144,weno,7.4515,151.8468,27.59,74,92,9.21,FM,1738530734
145,xai-xai,-25.0519,33.6442,23.86,78,8,4.14,MZ,1738530736
146,tamandare,-8.7597,-35.1047,26.91,72,6,3.97,BR,1738530737
147,prairie du chien,43.0517,-91.1412,7.01,70,0,0.0,US,1738530738
148,nemuro,43.3236,145.575,-2.15,64,72,2.81,JP,1738530740
149,kapshagay,43.8833,77.0833,-13.1,90,0,0.83,KZ,1738530742
150,crane,31.3974,-102.3501,24.78,9,4,3.29,US,1738530743
151,thames,-37.1333,175.5333,21.96,47,0,1.11,NZ,1738530744
152,saipan,15.1355,145.701,27.39,74,20,3.6,MP,1738530621
153,ashburton,-37.8626,145.0794,25.75,73,100,0.45,AU,1738530746
154,saudarkrokur,65.7461,-19.6394,-3.43,81,94,1.16,IS,1738530747
155,guerrero negro,27.9769,-114.0611,24.52,33,0,2.22,MX,1738530450
156,sydney,-33.8679,151.2073,22.16,79,0,2.57,AU,1738530178
157,hasaki,35.7333,140.8333,9.61,57,100,4.18,JP,1738530751
158,kindu,-2.95,25.95,21.61,88,80,1.11,CD,1738530753
159,alice springs,-23.7,133.8833,24.75,47,1,0.0,AU,1738530754
160,lazaro cardenas,17.9583,-102.2,28.17,55,0,3.76,MX,1738530755
161,petauke,-14.2426,31.3253,19.87,98,100,1.41,ZM,1738530756
162,grande prairie,55.1667,-118.8027,-22.29,81,100,2.28,CA,1738530560
163,fernie,49.5,-115.0687,-13.61,93,100,3.64,CA,1738530759
164,prince george,53.9166,-122.753,-17.43,63,100,2.68,CA,1738530760
165,port alfred,-33.5906,26.891,18.99,92,5,0.45,ZA,1738530761
166,paramonga,-10.6667,-77.8333,24.16,74,98,4.21,PE,1738530762
167,hudson,40.7168,-74.0663,0.05,69,100,4.63,US,1738530650
168,cidreira,-30.1811,-50.2056,25.94,83,0,6.61,BR,1738530765
169,lompoc,34.6391,-120.4579,20.94,63,0,5.14,US,1738530766
170,villazon,-22.0866,-65.5942,19.64,30,29,6.23,BO,1738530767
171,geraldton,-28.7667,114.6,21.23,83,20,7.72,AU,1738530768
172,ust'-ilimsk,58.0006,102.6619,-34.48,100,68,0.48,RU,1738530769
173,vilyuchinsk,52.9306,158.4028,-12.85,83,2,4.61,RU,1738530770
174,mersa matruh,31.3525,27.2453,15.99,72,100,3.49,EG,1738530771
175,nicoya,10.1483,-85.452,32.57,40,100,8.19,CR,1738530773
176,mbanza kongo,-6.267,14.2401,21.54,97,100,0.71,AO,1738530774
177,al bardiyah,31.7561,25.0865,15.68,77,100,5.21,LY,1738530775
178,betare oya,5.6,14.0833,24.47,23,96,2.06,CM,1738530674
179,keflavik,64.0049,-22.5624,2.24,80,100,9.26,IS,1738530777
180,shindand,33.3029,62.1474,4.87,48,100,0.88,AF,1738530778
181,al hasaheisa,14.7526,33.2984,25.05,35,0,4.37,SD,1738530779
182,chibougamau,49.9168,-74.3659,-14.22,86,72,2.89,CA,1738530780
183,karratha,-20.7377,116.8463,30.42,71,98,2.63,AU,1738530782
184,macon,39.8667,-88.9668,12.03,71,0,4.12,US,1738530783
185,kandi,11.1342,2.9386,27.03,19,44,2.35,BJ,1738530784
186,miedzychod,52.5988,15.897,1.19,89,100,1.79,PL,1738530785
187,leavenworth,39.2333,-95.0336,17.97,49,100,0.89,US,1738530786
188,nantucket,41.2835,-70.0995,-0.94,59,0,3.09,US,1738530744
189,isangel,-19.55,169.2667,26.65,88,100,10.46,VU,1738530789
190,tandalti,13.0167,31.8667,23.07,33,21,4.49,SD,1738530790
